time,high
8604,1.07944
8605,1.07884
8606,1.07776
8607,1.07674
8608,1.07832
8609,1.07778
8610,1.0766
8611,1.07478
8612,1.07394
8613,1.0722
8614,1.07267
8615,1.07373
8616,1.0731
8617,1.0731
8618,1.07301
8619,1.07292
8620,1.07364
8621,1.0743
8622,1.07417
8623,1.0743
8624,1.07383
8625,1.0742
8626,1.0745
8627,1.07396
8628,1.07261
8629,1.0735
8630,1.0723
8631,1.07181
8632,1.07122
8633,1.07064
8634,1.07
8635,1.06967
8636,1.07121
8637,1.07666
8638,1.07622
8639,1.07285
8640,1.07292
8641,1.0731
8642,1.0731
8643,1.0733
8644,1.07341
8645,1.0735
8646,1.0733
8647,1.0735
8648,1.0735
8649,1.0735
8650,1.07397
8651,1.076
8652,1.07589
8653,1.07608
8654,1.0756
8655,1.07473
8656,1.07492
8657,1.07377
8658,1.07432
8659,1.0728
8660,1.07362
8661,1.07402
8662,1.07392
8663,1.0734
8664,1.07244
8665,1.0716
8666,1.072
8667,1.07171
8668,1.07191
8669,1.0727
8670,1.0733
8671,1.0733
8672,1.0733
8673,1.07379
8674,1.07448
8675,1.07399
8676,1.07594
8677,1.0769
8678,1.0779
8679,1.07774
8680,1.07722
8681,1.079
8682,1.0791
8683,1.07894
8684,1.07633
8685,1.0762
8686,1.0749
8687,1.07457
8688,1.07393
8689,1.0741
8690,1.0749
8691,1.0743
8692,1.074
8693,1.0739
8694,1.0735
8695,1.0727
8696,1.0726
8697,1.0728
8698,1.073
8699,1.07447
8700,1.07531
8701,1.0746
8702,1.07113
8703,1.0711
8704,1.0702
8705,1.06995
8706,1.07069
8707,1.07067
8708,1.0687
8709,1.06742
8710,1.0677
8711,1.0676
8712,1.0681
8713,1.0681
8714,1.0701
8715,1.0701
8716,1.0696
8717,1.0671
8718,1.06795
8719,1.069
8720,1.06856
8721,1.06838
8722,1.0685
8723,1.0685
8724,1.06967
8725,1.06956
8726,1.0708
8727,1.07272
8728,1.0724
8729,1.0722
8730,1.073
8731,1.07282
8732,1.0724
8733,1.0725
8734,1.0727
8735,1.0733
8736,1.0737
8737,1.07343
8738,1.0734
8739,1.07361
8740,1.07397
8741,1.074
8742,1.0744
8743,1.0748
8744,1.075
8745,1.0767
8746,1.07661
8747,1.07651
8748,1.0768
8749,1.0805
8750,1.07692
8751,1.0772
8752,1.07339
8753,1.0731
8754,1.07453
8755,1.07411
8756,1.07423
8757,1.0739
8758,1.0738
8759,1.07395
8760,1.074
8761,1.07444
8762,1.07398
8763,1.0728
8764,1.0721
8765,1.07212
8766,1.072
8767,1.07187
8768,1.07285
8769,1.073
8770,1.0733
8771,1.07243
8772,1.0718
8773,1.07058
8774,1.06891
8775,1.06845
8776,1.06877
8777,1.06824
8778,1.0678
8779,1.06863
8780,1.06901
8781,1.06914
8782,1.0692
8783,1.0693
8784,1.06953
8785,1.07082
8786,1.0716
8787,1.0713
8788,1.0711
8789,1.0709
8790,1.0709
8791,1.07103
8792,1.07224
8793,1.07129
8794,1.0713
8795,1.07068
8796,1.0708
8797,1.07088
8798,1.06896
8799,1.06827
8800,1.06912
8801,1.0696
8802,1.06963
8803,1.0698
8804,1.0691
8805,1.06756
8806,1.0678
8807,1.0671
8808,1.06653
8809,1.06655
8810,1.06551
8811,1.0656
8812,1.06531
8813,1.0641
8814,1.0639
8815,1.06463
8816,1.0647
8817,1.06614
8818,1.0645
8819,1.0642
8820,1.06264
8821,1.06437
8822,1.06556
8823,1.0682
8824,1.06796
8825,1.06937
8826,1.06908
8827,1.0697
8828,1.06982
8829,1.0698
8830,1.0722
8831,1.072
8832,1.0715
8833,1.06886
8834,1.06877
8835,1.06847
8836,1.06855
8837,1.06931
8838,1.06932
8839,1.06854
8840,1.06812
8841,1.06865
8842,1.06844
8843,1.06914
8844,1.06933
8845,1.0694
8846,1.0704
8847,1.07047
8848,1.06991
8849,1.0689
8850,1.06922
8851,1.06861
8852,1.06864
8853,1.06915
8854,1.06941
8855,1.0689
8856,1.0691
8857,1.0687
8858,1.0688
8859,1.06872
8860,1.0687
8861,1.069
8862,1.0689
8863,1.06849
8864,1.0678
8865,1.06753
8866,1.0667
8867,1.067
8868,1.0674
8869,1.0674
8870,1.06724
8871,1.06885
8872,1.0675
8873,1.06683
8874,1.06608
8875,1.06646
8876,1.06694
8877,1.0673
8878,1.0698
8879,1.06853
8880,1.06628
8881,1.06614
